Location,Lat,Lng
Irving Ave Garage,43.037050386743296, -76.13887350853764
Lawrinson Garage,43.037050386743296, -76.13883590528432
"BBB (Brewster, Brockway, Boland) Garage",43.037050386743296, -76.14042006110778
University Place + College Place 43.037050386743296, -76.13164371877826
Lyman/Slocum Bus Stop (College Place),43.037050386743296, -76.1165806508001
Sims Drive (S/W Carnegie Hall),43.037050386743296, -76.13399174576683
Law School/ Irving Garage Bridge,43.037050386743296, -76.13876728994317
Holden Observatory,43.037050386743296, -76.13713960343728
Euclid Ave./ College Pl,43.037050386743296, -76.13135221877837
Quad 1 Parking Booth,43.037050386743296, -76.13595578440254
Quad - Near Hinds Hall,43.037050386743296, -75.84094526652135
Tennis Court - Mount Olympus Stairs,43.037050386743296, -118.35020991921071
"Mt. Olympus Staircase - Upper, Center, Lower",43.037050386743296, -122.44641794603191
Euclid Ave/ Ostrom Ave (Shaw Hall),43.037050386743296, -76.12911481693153
"University Place Comstock Ave (Ernie Davis Hall)",43.037050386743296, -76.12986400528406
Ostrom Avenue + Marshall Street,43.037050386743296, -76.12870473227242
Marion Bus Stop,43.037050386743296, -76.28431824282933
E. Adams Street + Walnut Place,43.037050386743296, -76.13285741877799
Waverly Ave Schine,43.037050386743296, -76.1337424034372
Waverly Parking Booth (Hoople),43.037050386743296, -76.13187884761336
Huntington Hall,43.037050386743296, -76.13452805556705
Irving Ave + Van Buren Street,43.037050386743296, -76.1383185880962
VA Hospital,43.037050386743296, -76.13091475651247
Comstock and Marshall,43.037050386743296, -76.13021681693127
West Campus Parking Booth,43.037050386743296, -76.13962455535581
Waverly + Comstock,43.037050386743296, -76.13018546110764
Syracuse Stage East Ent.,43.037050386743296, -76.13677301529724
Syracuse Stage Parking Booth,43.037050386743296, -76.13737383281263
Panic/ Emergency Phones: Peck Hall,43.037050386743296, -76.14357776110732
University Place + Comstock Ave (Ernie Davis Hall),43.037050386743296, -76.12986400528406
Booth Garage,43.037050386743296, -76.12981388994282
Adams Street Garage,43.037050386743296, -76.12953087460181
University Ave Garage,43.037050386743296, -76.1ß3378013042542
Waverly + Comstock,43.037050386743296, -76.13016400343713
Warehouse Parking Lot,43.037050386743296, -76.15866670343675
Syracuse Center of Excellence,43.037050386743296, -76.14149470343662
Campus West Apartments,43.037050386743296, -76.14110020343735
Life Sciences,43.037050386743296, -76.13809634630344
"Life Sciences, R-3 Lot",43.037050386743296, -76.13946963721695
