Location,Coordinates,,,
Irving Ave Garage,"43.037050386743296, -76.13887350853764",,,
Lawrinson Garage,"43.03488089797313, -76.13883590528432",,,
"BBB (Brewster, Brockway, Boland) Garage","43.03820528065662, -76.14042006110778",,,
University Place + College Place,"43.039482352653195, -76.13164371877826",,,
Lyman/Slocum Bus Stop (College Place),"43.021799426719845, -76.1165806508001",,,
Sims Drive (S/W Carnegie Hall),"43.03668897385142, -76.13399174576683",,,
Law School/ Irving Garage Bridge,"43.03652021915986, -76.13876728994317",,,
Holden Observatory,"43.03790392154511, -76.13713960343728",,,
Euclid Ave./ College Pl,"43.03633653244873, -76.13135221877837",,,
Quad 1 Parking Booth,"43.03779489175776, -76.13595578440254",,,
Quad - Near Hinds Hall,"42.96338684730165, -75.84094526652135",,,
Tennis Court - Mount Olympus Stairs,"34.08782966884715, -118.35020991921071",,,
"Mt. Olympus Staircase - Upper, Center, Lower","37.76220692596614, -122.44641794603191",,,
Euclid Ave/ Ostrom Ave (Shaw Hall),"43.03683591550686, -76.12911481693153",,,
University Place/ Comstock Ave (Ernie Davis Hall),"43.03971446742954, -76.12986400528406",,,
Ostrom Avenue + Marshall Street,"43.04180385979387, -76.12870473227242",,,
Marion Bus Stop,"43.223156729710944, -76.28431824282933",,,
E. Adams Street + Walnut Place,"43.04277577013353, -76.13285741877799",,,
Waverly Ave Schine,"43.04009447595926, -76.1337424034372",,,
Waverly Parking Booth (Hoople),"43.04095812225026, -76.13187884761336",,,
Huntington Hall,"43.04140880790902, -76.13452805556705",,,
Irving Ave + Van Buren Street,"43.03796706504646, -76.1383185880962",,,
VA Hospital,"43.217082758854644, -76.13091475651247",,,
Comstock and Marshall,"43.04161063777228, -76.13021681693127",,,
West Campus Parking Booth,"43.03925321598912, -76.13962455535581",,,
Waverly + Comstock,"43.04072043321113, -76.13018546110764",,,
Syracuse Stage East Ent.,"43.03902618290132, -76.13677301529724",,,
Syracuse Stage Parking Booth,"43.0411267689315, -76.13737383281263",,,
Panic/ Emergency Phones: Peck Hall,"43.048180377521305, -76.14357776110732",,,
University Place + Comstock Ave (Ernie Davis Hall),"43.03971446742954, -76.12986400528406",,,
Booth Garage,"43.04105795790368, -76.12981388994282",,,
Adams Street Garage,"43.0421567006738, -76.12953087460181",,,
University Ave Garage,"43.04353598642596, -76.13378013042542",,,
Waverly + Comstock,"43.040736115952264, -76.13016400343713",,,
Warehouse Parking Lot,"43.04913681757058, -76.15866670343675",,,
Syracuse Center of Excellence,"43.05021217362553, -76.14149470343662",,,
Campus West Apartments,"43.03677481834652, -76.14110020343735",,,
Life Sciences,"43.03858069465462, -76.13809634630344",,,
"Life Sciences, R-3 Lot","43.041152700315365, -76.13946963721695",,,
